iteration,instance,selection,crossover,mutation,elitism,asexual_reproduction,population,mutation_rate,generations,runtime,result
5,pr152,tournament,single_point,swap,False,True,50,0.02,2000,17.971563816070557,481519.1711561162
6,pr152,tournament,single_point,swap,False,True,50,0.05,500,5.8411946296691895,733292.3987316729
7,pr152,tournament,single_point,swap,False,True,50,0.05,1000,8.728616714477539,725624.7334307659
8,pr152,tournament,single_point,swap,False,True,50,0.05,2000,19.882158517837524,718088.880418948
9,pr152,tournament,single_point,swap,False,True,100,0.01,500,8.248181581497192,335128.83718637325
10,pr152,tournament,single_point,swap,False,True,100,0.01,1000,16.62878942489624,307146.36406503036
11,pr152,tournament,single_point,swap,False,True,100,0.01,2000,32.025574684143066,275937.7047364934
12,pr152,tournament,single_point,swap,False,True,100,0.02,500,8.908953666687012,498479.30513071356
13,pr152,tournament,single_point,swap,False,True,100,0.02,1000,17.084142208099365,498259.279476247
14,pr152,tournament,single_point,swap,False,True,100,0.02,2000,34.73894381523132,466599.5919921647
15,pr152,tournament,single_point,swap,False,True,100,0.05,500,9.671126365661621,714427.3635701982
16,pr152,tournament,single_point,swap,False,True,100,0.05,1000,18.158809423446655,707154.3976107283
17,pr152,tournament,single_point,swap,False,True,100,0.05,2000,37.61924600601196,707600.9524673562
18,pr152,tournament,single_point,swap,False,True,200,0.01,500,16.598307371139526,316880.61858151044
19,pr152,tournament,single_point,swap,False,True,200,0.01,1000,32.13973832130432,255374.91988315454
20,pr152,tournament,single_point,swap,False,True,200,0.01,2000,62.84313440322876,239232.9841283958
21,pr152,tournament,single_point,swap,False,True,200,0.02,500,16.824368715286255,445495.7979078629
22,pr152,tournament,single_point,swap,False,True,200,0.02,1000,33.66591930389404,423759.7383135395
23,pr152,tournament,single_point,swap,False,True,200,0.02,2000,69.1910572052002,429977.13799265394
24,pr152,tournament,single_point,swap,False,True,200,0.05,500,18.32446050643921,719636.748127742
25,pr152,tournament,single_point,swap,False,True,200,0.05,1000,37.7923378944397,705114.9720216631
26,pr152,tournament,single_point,swap,False,True,200,0.05,2000,76.31528544425964,694921.6517501075
0,rat99,tournament,single_point,swap,False,True,50,0.01,500,2.4324285984039307,2581.448540108309
1,rat99,tournament,single_point,swap,False,True,50,0.01,1000,6.060991525650024,2223.194212707961
2,rat99,tournament,single_point,swap,False,True,50,0.01,2000,10.876805543899536,2099.6393765271814
3,rat99,tournament,single_point,swap,False,True,50,0.02,500,2.5377399921417236,2796.998133882864
4,rat99,tournament,single_point,swap,False,True,50,0.02,1000,4.997961759567261,2420.7330006812986
5,rat99,tournament,single_point,swap,False,True,50,0.02,2000,11.305996656417847,2478.8446173237267
6,rat99,tournament,single_point,swap,False,True,50,0.05,500,3.026792526245117,5025.668781672297
7,rat99,tournament,single_point,swap,False,True,50,0.05,1000,6.589061737060547,4932.88259112996
8,rat99,tournament,single_point,swap,False,True,50,0.05,2000,12.304907321929932,4977.212067806431
9,rat99,tournament,single_point,swap,False,True,100,0.01,500,4.864661931991577,2129.1012121997537
10,rat99,tournament,single_point,swap,False,True,100,0.01,1000,10.849880933761597,2156.421302728587
11,rat99,tournament,single_point,swap,False,True,100,0.01,2000,23.045474767684937,2193.0761601060385
12,rat99,tournament,single_point,swap,False,True,100,0.02,500,5.027352809906006,2947.104702847556
13,rat99,tournament,single_point,swap,False,True,100,0.02,1000,11.216686010360718,2609.5533339265894
14,rat99,tournament,single_point,swap,False,True,100,0.02,2000,22.58431077003479,2285.7333925000185
15,rat99,tournament,single_point,swap,False,True,100,0.05,500,5.6913440227508545,4978.970225138838
16,rat99,tournament,single_point,swap,False,True,100,0.05,1000,12.220674276351929,4910.8483614075285
17,rat99,tournament,single_point,swap,False,True,100,0.05,2000,25.005638122558594,4837.663555386262
18,rat99,tournament,single_point,swap,False,True,200,0.01,500,10.952280759811401,2611.387752290209
19,rat99,tournament,single_point,swap,False,True,200,0.01,1000,22.078356981277466,2212.5878651050666
20,rat99,tournament,single_point,swap,False,True,200,0.01,2000,43.795618295669556,1888.566574884331
21,rat99,tournament,single_point,swap,False,True,200,0.02,500,10.93246078491211,2786.60866331978
22,rat99,tournament,single_point,swap,False,True,200,0.02,1000,22.508084297180176,2387.780707660673
23,rat99,tournament,single_point,swap,False,True,200,0.02,2000,44.92505621910095,2100.5183536823074
24,rat99,tournament,single_point,swap,False,True,200,0.05,500,12.683091402053833,4831.80484339681
25,rat99,tournament,single_point,swap,False,True,200,0.05,1000,26.79846501350403,4844.001741980628
26,rat99,tournament,single_point,swap,False,True,200,0.05,2000,51.407477617263794,4658.088571898967
