"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.02,generations:2000,runtime:11.305996656417847"
Generation,Min Distance,Avg Distance
200,3440.931235391561,3828.875058379348
400,3169.7378630062785,3595.0009499228327
600,2942.274513002232,3305.7387630817257
800,2761.700190267718,3193.089561276811
1000,2792.410892157395,3236.121444746187
1200,2594.3566114892196,2995.504715784919
1400,2658.515202144652,3078.1934514696877
1600,2575.623904495681,3040.686359374171
1800,2488.290138549298,2935.874668992637
2000,2589.63425218166,3065.241008440844
