"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.02,generations:2000,runtime:27.752697467803955"
Generation,Min Distance,Avg Distance
200,11143.551294859577,12481.957325626596
400,11075.096318606387,12349.570160022138
600,11075.096318606387,12331.452344335825
800,11075.096318606387,12379.678296871461
1000,10910.909405912835,12177.903119013961
1200,10910.909405912835,12198.83032900473
1400,10910.909405912835,12100.588384083165
1600,10910.909405912835,12099.255279013316
1800,10910.909405912835,12032.944681001676
2000,10910.909405912835,12032.513136847865
