"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.01,generations:500,runtime:7.150712251663208"
Generation,Min Distance,Avg Distance
50,14976.077387281022,15869.249882970149
100,11946.996768495079,12601.745920334155
150,11400.931878090745,11954.974203700927
200,11335.659036023077,11892.392204968224
250,11335.659036023077,11879.198332317157
300,11335.659036023077,11884.088938417282
350,11335.659036023077,12058.991525638046
400,11335.659036023077,12006.831985334955
450,11335.659036023077,12079.698561247409
500,11335.659036023077,11935.723278295149
