"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.01,generations:500,runtime:2.7239577770233154"
Generation,Min Distance,Avg Distance
50,14148.686058892716,14920.686950996851
100,12804.117164747064,13360.477969241943
150,12355.552942152155,12819.210233989477
200,11672.446507240833,12571.736702271588
250,11255.774963984579,11929.484036991744
300,10862.98172679263,11343.255773368823
350,10508.308240413045,10967.744197283977
400,10482.727169991535,11049.877987744898
450,10482.727169991535,11269.796755221134
500,10482.727169991535,11163.56117439579
