"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.01,generations:2000,runtime:32.025574684143066"
Generation,Min Distance,Avg Distance
200,412378.25535239733,439173.2853154457
400,359509.99537523446,387173.1181838926
600,339699.9691490735,369399.8439596073
800,314493.56215430686,343091.3113447246
1000,306879.2175760926,334907.6368878541
1200,301170.0782849965,333704.3270125597
1400,291227.44091079425,319050.0166239536
1600,278958.05445538997,313667.4010685095
1800,277048.5187467913,307626.6083780692
2000,275937.7047364934,309262.8393888506
