"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.05,generations:2000,runtime:51.407477617263794"
Generation,Min Distance,Avg Distance
200,5246.413060223682,6064.6577508485225
400,5419.1015402630965,6159.37577492294
600,5266.177591185303,6116.578704270429
800,5228.29144988221,6059.85354517701
1000,5614.735861787772,6252.527750160173
1200,5390.148074926115,6146.7420368781495
1400,5359.352583157793,6183.09959730448
1600,5261.674995950444,6072.773003543107
1800,5528.769617551267,6199.823876037921
2000,5334.255735297463,6242.543316066996
