"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.05,generations:500,runtime:5.215287923812866"
Generation,Min Distance,Avg Distance
50,15585.894082392671,18580.876874250233
100,14698.099299609947,17838.878089997062
150,14612.868886584443,17655.331057596144
200,14545.131839427073,17128.864271890983
250,14368.143718208483,17730.241868072855
300,13290.252592122917,16411.942624934793
350,13572.75520184241,16791.63627325892
400,15086.82296976791,17786.42674484524
450,14025.227742209676,17844.91993642239
500,12313.060951673713,16088.333320076234
