"eil51,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.02,generations:2000,runtime:13.6262845993042"
Generation,Min Distance,Avg Distance
200,610.1315875089573,686.6152992705554
400,597.4684565162079,673.6261602624996
600,597.4684565162079,670.5845462346741
800,597.4684565162079,668.1928354645229
1000,597.4684565162079,682.1237558694556
1200,597.4684565162079,670.3977506042778
1400,597.4684565162079,688.7065664036371
1600,596.12258607584,666.7232331112342
1800,596.12258607584,670.9454323578384
2000,596.12258607584,658.8265881077617
