"eil51,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.01,generations:1000,runtime:13.379427194595337"
Generation,Min Distance,Avg Distance
100,679.5558403195545,723.2992061055495
200,541.045972713616,585.5465610775202
300,524.3804192226744,563.5169239379178
400,524.3804192226744,563.455544891595
500,524.3804192226744,561.6516583006014
600,524.3804192226744,563.7038804175662
700,516.3237740455223,555.4772573653527
800,511.58189233789886,548.7164945667854
900,511.58189233789886,545.5723955993558
1000,511.58189233789886,551.9475548560359
