"eil51,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.05,generations:500,runtime:1.6014404296875"
Generation,Min Distance,Avg Distance
50,1007.3261359386054,1129.8012842573391
100,866.8500357138967,1046.2231662807187
150,869.9062658672767,1022.5604237392073
200,863.4461603354804,1002.2197114436004
250,911.2911814225014,1062.7050639678448
300,888.8205634782321,1047.2210818179744
350,861.4786283110885,1011.7151436564676
400,902.8243431551651,1045.217243014358
450,917.7310522985198,1081.088569592139
500,917.3073148713626,1056.211115379376
