"eil51,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.02,generations:1000,runtime:7.300433158874512"
Generation,Min Distance,Avg Distance
100,653.1388416552038,724.7019443074579
200,570.2052467335166,663.1441888462721
300,554.246636439072,643.4198289705387
400,553.6540560749827,637.2395764151888
500,553.6540560749827,613.7364024483334
600,553.6540560749827,638.3661079091813
700,553.6540560749827,617.2544695530512
800,553.6540560749827,627.559263859642
900,553.6540560749827,629.9318455356054
1000,553.6540560749827,642.3952534434876
