"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.02,generations:1000,runtime:8.960650444030762"
Generation,Min Distance,Avg Distance
100,603194.6054716641,645103.8572308901
200,570705.6141383736,604398.2759463598
300,545369.8296814455,596931.6710700039
400,536611.6990374774,592253.4066033603
500,563768.9874656603,603090.6961711326
600,530688.2058869314,584483.5616141794
700,535146.5946300757,588180.8006246516
800,522540.85048681166,565525.5224917465
900,536946.9278923521,585727.20198076
1000,579430.7193204892,615582.4271320619
