"eil51,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.02,generations:500,runtime:3.0682125091552734"
Generation,Min Distance,Avg Distance
50,795.4975365532879,871.5511481359147
100,700.7680678589519,759.6046210663886
150,642.0105199749065,703.5067183176511
200,618.8874993257976,686.2521846707212
250,618.8874993257976,692.8080233755445
300,609.8661735611166,691.683839822611
350,590.6193381562258,656.756069210001
400,580.8162257766344,664.6221722162395
450,580.8162257766344,649.0442391964166
500,580.8162257766344,659.8534464326301
