"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.02,generations:2000,runtime:34.73894381523132"
Generation,Min Distance,Avg Distance
200,545260.2608969958,593613.9108852652
400,536803.4053259174,588776.5211224695
600,491467.1134282669,545573.2971651366
800,495830.2876363187,560173.784877485
1000,519918.40404407046,572858.6145260235
1200,504773.3300961647,566326.5032548513
1400,495130.42732369615,548332.9741364999
1600,484711.004110518,541873.949670549
1800,496601.6757192396,552638.9506406258
2000,512205.3064158862,564314.7997014163
