"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.05,generations:500,runtime:18.32446050643921"
Generation,Min Distance,Avg Distance
50,756621.1319947699,845354.404595905
100,741177.7333787584,819135.329150521
150,757721.1419673185,834649.2198447809
200,735473.9913590101,831637.7328871837
250,768514.181800634,841848.9270934368
300,780746.5178963689,848266.2372564677
350,764554.0946936486,846384.5385175336
400,743484.455344938,821225.2399157109
450,755495.83976664,834746.0996079148
500,756804.6718955471,844144.1588736192
