"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.05,generations:500,runtime:3.026792526245117"
Generation,Min Distance,Avg Distance
50,5255.662799017269,6192.274071118555
100,5706.930686810059,6374.062319520631
150,5629.13254342053,6226.846262739069
200,5453.155959341906,6151.881305778761
250,5622.404183084603,6312.705884986975
300,5694.563580122733,6319.492969352629
350,5701.995177116614,6382.154571105182
400,5449.134362528804,6109.659583290877
450,5092.333841947258,5756.7340164476755
500,5771.355340527746,6457.244217237546
