"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.05,generations:2000,runtime:14.533808946609497"
Generation,Min Distance,Avg Distance
200,13610.481518831362,16695.57739710742
400,14390.982622444015,17738.96608749012
600,13787.759918249163,17127.63011242617
800,14847.38143573321,17517.35759298204
1000,15155.545495262095,18080.803238432934
1200,14366.637004635808,17462.992932128796
1400,13853.335533694015,17205.246050257345
1600,13823.544560545886,17316.975067899286
1800,14225.283169651842,17311.48802885448
2000,14117.7578273553,17142.410373891587
