"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.05,generations:1000,runtime:15.207387208938599"
Generation,Min Distance,Avg Distance
100,15040.27574205006,18281.73984262975
200,14316.926462300182,17346.150548895224
300,14355.848012170502,17175.813384865447
400,13112.458740516668,16462.440369184795
500,12447.16665497336,15895.369479855308
600,12422.058488550967,16102.760373555628
700,12749.71397289234,16295.044810213401
800,13332.539354948967,16731.47847318159
900,11790.196608419585,15881.467418677821
1000,11652.731549865704,15411.583590494052
