"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.05,generations:2000,runtime:30.113878965377808"
Generation,Min Distance,Avg Distance
200,13318.563328436518,17074.308371817235
400,12867.634140409764,16530.1351994972
600,14361.331431861025,17546.01454995412
800,13990.269618243436,17585.04519667699
1000,12840.303374759345,15852.988494335215
1200,12472.915775019019,16148.847185757959
1400,12758.937898473716,16128.210238270538
1600,12873.530666486315,16312.830019467898
1800,12855.900704691929,16891.468040218453
2000,13334.443972171135,16589.894351937342
