"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.02,generations:1000,runtime:6.3347625732421875"
Generation,Min Distance,Avg Distance
100,12276.925797094313,13430.118171300299
200,10948.655421424228,12231.320181915433
300,10395.643047317597,11581.904309221887
400,9970.232252739883,11700.127582709485
500,9953.073344476818,11315.54692113431
600,9921.910203530333,10950.90550885406
700,9921.910203530333,11250.423636946072
800,9921.910203530333,11199.422191366752
900,9921.910203530333,11250.555537579776
1000,9921.910203530333,11024.959553361366
