"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.02,generations:500,runtime:5.027352809906006"
Generation,Min Distance,Avg Distance
50,4600.804121081939,4964.856502751598
100,3784.850366822659,4190.774972994417
150,3593.409442326167,4051.5651228916618
200,3396.0951982429533,3821.840675163005
250,3273.206760671713,3694.139845025148
300,3175.0382672526293,3641.638756998607
350,3128.838792158902,3469.871763604396
400,3050.9374298282637,3428.295819765674
450,3014.7052656766623,3477.3927242790655
500,2967.706679607928,3390.7011386403556
