"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.02,generations:2000,runtime:5.86509370803833"
Generation,Min Distance,Avg Distance
200,12104.34152339266,13505.380886426496
400,10920.24442587322,12409.506787365117
600,10608.602364101107,11844.754182975947
800,10594.741854103053,11660.716436306375
1000,10549.00626509362,11619.535829018721
1200,10549.00626509362,11882.39184822442
1400,10549.00626509362,11833.98669905923
1600,10549.00626509362,12079.73435360063
1800,10549.00626509362,11613.517613908703
2000,10532.464493606818,11835.273969689619
