"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.01,generations:1000,runtime:6.109688997268677"
Generation,Min Distance,Avg Distance
100,12168.314042591448,12910.604048237552
200,11793.811297118786,12440.687578050294
300,11513.619185596734,12188.766647605926
400,11014.345175225635,11864.28217979731
500,10874.0358879058,11532.224793088537
600,10874.0358879058,11437.054896213416
700,10874.0358879058,11607.17466607094
800,10874.0358879058,11353.367011241487
900,10721.115545332012,11189.843382722502
1000,10721.115545332012,11440.325290119295
