"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.02,generations:2000,runtime:69.1910572052002"
Generation,Min Distance,Avg Distance
200,511755.317281813,575708.3034379072
400,482163.80733724084,533072.3316872983
600,486178.2086613158,541314.4248659371
800,507793.8084393646,560675.9743445544
1000,479246.6375465678,537098.34070348
1200,480352.3427800103,539146.4836477506
1400,466689.7242568,523975.77537666116
1600,449138.93996918417,517261.5721229352
1800,467740.11140345625,523561.59259010415
2000,501945.79838338273,548625.4685530062
