"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.05,generations:2000,runtime:37.61924600601196"
Generation,Min Distance,Avg Distance
200,773477.2397050417,832320.3518283654
400,770338.7032490204,842080.3103425388
600,763437.064653833,834948.9527871156
800,771016.2838648418,849706.117486752
1000,760052.2452285168,844763.5561777039
1200,750540.9592990989,813823.7576448664
1400,767343.3406168944,843118.5198762248
1600,760621.0797777724,839587.6832643078
1800,776094.8082134305,830562.6431045828
2000,755848.3928993458,821938.6598465206
