"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.05,generations:500,runtime:5.8411946296691895"
Generation,Min Distance,Avg Distance
50,780549.1548952879,838566.8495549602
100,784401.652669664,850789.5340371109
150,764933.6610541363,824460.6942924306
200,781414.9105772602,841439.7659625061
250,808731.7192961299,868824.0630471288
300,808586.5202018989,849679.7170426573
350,751580.5957748841,831983.5567623287
400,768389.7029023194,821178.3738569095
450,777050.2191402693,840611.8817561642
500,778840.8926743973,838379.6189216736
