"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.01,generations:2000,runtime:23.045474767684937"
Generation,Min Distance,Avg Distance
200,2946.8528834016606,3148.8349820312824
400,2581.5989618885565,2763.7141888689575
600,2416.210928963843,2631.6813105276046
800,2364.253871758629,2574.386675376964
1000,2360.8084100844558,2587.959118545588
1200,2299.4747471121173,2513.1296926463324
1400,2268.685883306642,2459.9092722210485
1600,2204.8696846028615,2423.7277497317205
1800,2203.8054327690334,2404.035746352564
2000,2193.0761601060385,2453.581387127843
