"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.05,generations:2000,runtime:8.032215356826782"
Generation,Min Distance,Avg Distance
200,13979.308046333315,16870.08040297514
400,14791.07338554979,18053.352343262097
600,14339.278223110488,17232.43936117622
800,15769.030655514562,17992.8753385976
1000,14313.122697638462,17830.156121042848
1200,15194.96860374932,18343.72941828102
1400,14357.16657397226,17564.75465307403
1600,14280.233327654962,17135.25194488862
1800,15837.138947393336,18802.44444881376
2000,15526.089453314227,18058.761356194897
