"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.01,generations:1000,runtime:22.078356981277466"
Generation,Min Distance,Avg Distance
100,3558.504612269193,3789.1981437921227
200,2928.4498049399576,3135.7829528503426
300,2493.7203868887605,2684.1585038612047
400,2364.639484264658,2597.196099660354
500,2320.100764148049,2534.384035273344
600,2245.843436279328,2477.253351955292
700,2227.6264144719785,2444.235092835442
800,2222.410276359033,2409.055663803475
900,2222.410276359033,2419.7039360130966
1000,2212.5878651050666,2435.970700313711
