"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.02,generations:1000,runtime:33.66591930389404"
Generation,Min Distance,Avg Distance
100,518264.48879249964,574255.8779216213
200,489767.9257748831,547435.2770900694
300,469112.8766020156,531014.6862741776
400,481303.23678739823,537081.1937766223
500,436117.72971504234,497237.98942313425
600,476324.6822307017,536078.2364844783
700,503600.0212966589,551379.8164375274
800,471528.9810988198,539329.219459736
900,496494.94888480863,549423.026588157
1000,481096.51377409033,533429.1075240577
