"eil51,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.02,generations:500,runtime:7.157028675079346"
Generation,Min Distance,Avg Distance
50,781.700110100876,860.0909683594701
100,661.0481180225271,744.8230604348086
150,594.3804887512422,673.8796388466882
200,585.5441464943304,654.4385946273286
250,585.5441464943304,664.3933714453821
300,585.5441464943304,655.5963393095785
350,585.5441464943304,653.1977620436588
400,585.5441464943304,656.3946881206646
450,585.5441464943304,662.061917548894
500,585.5441464943304,652.8634664289132
