"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.05,generations:1000,runtime:37.7923378944397"
Generation,Min Distance,Avg Distance
100,731517.5016285742,812265.6768623798
200,765427.6701933368,837579.7835366821
300,756090.9908575669,829673.8548489934
400,769953.6390071601,841003.1963149124
500,780380.6417180852,857448.9552438186
600,745836.3728727992,830914.0818461329
700,767666.0554275179,836217.3022917386
800,747643.0217610572,830273.300755625
900,748783.3591076873,826455.910062097
1000,750189.2154556307,829259.6348237417
