"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.05,generations:1000,runtime:18.158809423446655"
Generation,Min Distance,Avg Distance
100,768768.2065582044,848916.7431556105
200,750456.8354923498,848085.1065089601
300,757265.7512555162,833167.6748602219
400,760046.3303631886,831370.5588733146
500,788819.1026874642,853632.6704177778
600,772288.5523081829,830752.0130861767
700,767210.7706514125,827983.9791327616
800,776516.5575676602,855450.6105191441
900,779679.7586430114,849470.1697754592
1000,770816.6859383193,832749.4454349102
