"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.02,generations:1000,runtime:22.508084297180176"
Generation,Min Distance,Avg Distance
100,3778.6178308617204,4147.20787468696
200,3197.339939041912,3617.0274610172596
300,2967.9152213135635,3414.5590392838326
400,2808.018038805231,3226.7095029958064
500,2675.406100823975,3115.4405111050473
600,2596.688498787274,3035.9906246734204
700,2523.9837147227404,3033.033390771222
800,2460.7092252719135,2951.7696209309474
900,2436.042159337661,2917.5056661150657
1000,2396.5560974874265,2855.3690216249693
