"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.05,generations:1000,runtime:12.220674276351929"
Generation,Min Distance,Avg Distance
100,5365.2083851896095,6156.324601197541
200,5434.646032328457,6091.170817342935
300,5434.6398380840865,6063.037154657122
400,5111.122012712106,5980.002867987728
500,5463.595093279651,6140.036734897736
600,5529.49443727239,6103.035644221548
700,5389.62742760907,6228.823814812094
800,5497.568020113687,6223.4708285083525
900,5341.458479071701,6189.243179429905
1000,5214.899593697734,6062.875968911817
