"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.01,generations:2000,runtime:18.09506130218506"
Generation,Min Distance,Avg Distance
200,430073.3178102907,458217.26536192524
400,360935.76287222304,386600.6086564588
600,330020.0769578119,352491.57040877605
800,321342.03238429356,345550.8483969612
1000,313515.41716569825,337893.49862946686
1200,309828.1965080039,333611.08964023803
1400,305311.2812634581,331512.8032912876
1600,294322.32255433867,317294.7792731719
1800,286939.81817179447,311939.61089794117
2000,281749.8178745236,306010.22475586215
