"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.05,generations:500,runtime:1.903649091720581"
Generation,Min Distance,Avg Distance
50,16501.396910908596,19317.810089759718
100,15795.235395193276,17949.006174135815
150,16567.43650533332,19460.76493580142
200,16230.292610464308,18963.571290954373
250,16396.58414971936,19019.57382128379
300,15514.672459774703,17897.82499353267
350,16309.042458479576,19236.76655547592
400,16118.219359252489,18636.506967082845
450,15891.657211418189,19409.822187954574
500,14316.774336055127,17774.598614045124
