"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.01,generations:500,runtime:8.248181581497192"
Generation,Min Distance,Avg Distance
50,588964.4415358837,623630.9558170683
100,477867.5234538139,501140.74897581275
150,430341.80188520136,460687.03598626284
200,399861.5170807027,425555.0220256642
250,377232.6887344097,403891.328706465
300,366436.0446496322,396830.3097513382
350,359346.65539848374,392918.3267679941
400,350400.77865364135,381022.986347338
450,340572.97847684874,368843.73177965137
500,335234.8211059627,364031.86448467936
