"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.02,generations:500,runtime:10.93246078491211"
Generation,Min Distance,Avg Distance
50,4255.516184209677,4658.799764003988
100,3742.613816460042,4115.621182894865
150,3397.235323699087,3832.725904751068
200,3271.5981782637696,3678.7907225355953
250,3203.403320666474,3594.1466327919597
300,3073.260212497189,3477.0378482973315
350,2989.588239562674,3447.2381409696086
400,2875.243655740318,3320.401736229539
450,2831.1284475173084,3271.091932083833
500,2788.7807747793236,3223.5052929097546
