"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.01,generations:500,runtime:2.4324285984039307"
Generation,Min Distance,Avg Distance
50,4700.940183991968,4987.193027472314
100,3812.0413280983566,3990.6020969669744
150,3333.8405992784374,3536.1804002484078
200,3037.617214732744,3215.8962493307126
250,2941.3705554094004,3121.7006298601227
300,2845.2060651034694,3036.81808002735
350,2761.748906849623,3008.378174551347
400,2693.8997271326043,2923.838589613014
450,2625.7259682759886,2812.2950740417104
500,2581.448540108309,2849.952795619469
