"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.01,generations:500,runtime:4.864661931991577"
Generation,Min Distance,Avg Distance
50,3987.5378584148507,4240.784352843203
100,3316.8277644034342,3520.8940128573868
150,3008.878018097353,3206.667681310238
200,2751.3766085675234,2944.66045429832
250,2581.7880916661593,2800.5285291623372
300,2427.460142381533,2671.739800391253
350,2281.734852488896,2549.459644603808
400,2199.9267195645675,2430.033210552883
450,2159.0997600368905,2375.519804611751
500,2129.9893429662643,2342.178590990339
