"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.01,generations:2000,runtime:13.940562963485718"
Generation,Min Distance,Avg Distance
200,10545.642247995673,11204.1765405467
400,10475.414781750367,11110.488935937032
600,10475.414781750367,11112.185225315608
800,10475.414781750367,11056.314309173797
1000,10475.414781750367,11029.762153639687
1200,10475.414781750367,11114.319651814998
1400,10475.414781750367,11063.655540581196
1600,10475.414781750367,11272.327342817342
1800,10475.414781750367,11131.389219665005
2000,10475.414781750367,10847.131262982206
