"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.05,generations:2000,runtime:76.31528544425964"
Generation,Min Distance,Avg Distance
200,742465.1142586721,816676.7646646386
400,765092.7803377704,838871.2711158417
600,740393.93859994,826251.7287275719
800,786384.6863514624,848992.9425675519
1000,743420.5067614454,837173.415282445
1200,736639.8165984454,829533.5657497161
1400,740670.0060744004,838168.7710583195
1600,756270.8291425919,828787.5782196233
1800,790906.3190725668,851437.8262575767
2000,767499.7769587345,834336.9789037652
