"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.01,generations:1000,runtime:7.466332197189331"
Generation,Min Distance,Avg Distance
100,513884.4836723312,536027.9779165658
200,419678.64080363483,444514.7215761673
300,391219.0043078762,414972.4485198858
400,375105.66484374413,403323.6336733405
500,362892.9525595699,385871.52620017313
600,349713.5150154897,377222.64652652934
700,335153.0720115249,366480.53369914595
800,327106.1293261984,356745.3590397825
900,323299.9972947344,347326.3582173473
1000,318188.61312195973,347058.8167835238
