"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.02,generations:2000,runtime:44.92505621910095"
Generation,Min Distance,Avg Distance
200,3135.755525968015,3552.187871094436
400,2707.62121928279,3127.2068582857687
600,2516.0881276394057,2992.442022957445
800,2351.8050319263066,2807.49409017696
1000,2256.5447933093624,2706.73578734263
1200,2201.888624639958,2677.403508628501
1400,2201.570001386415,2605.4001059426714
1600,2162.32324461915,2630.7247436677953
1800,2134.615175079883,2586.0260580538975
2000,2106.4237328249565,2517.192419686525
