"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.02,generations:1000,runtime:3.0510857105255127"
Generation,Min Distance,Avg Distance
100,12436.067998760627,13801.847585099795
200,10899.734368334226,12505.078544777552
300,10807.660484476186,12134.04330890907
400,10734.116246359548,11497.506349205483
500,10717.6920286881,11814.889267413408
600,10717.6920286881,11534.483116272573
700,10717.179183325186,11868.106486267026
800,10717.179183325186,12142.0662435109
900,10714.097872402226,11744.932085833007
1000,10714.097872402226,11796.046665074773
