"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.01,generations:1000,runtime:3.3755581378936768"
Generation,Min Distance,Avg Distance
100,13490.377392145658,14437.723955170282
200,12104.608762527369,12659.25595455392
300,11382.04584492654,12235.68712576439
400,11310.90237201675,11870.33584360287
500,11155.906004764405,12009.75607135627
600,11155.906004764405,11815.146467972247
700,11155.906004764405,11610.655081758745
800,11155.906004764405,11822.661010570562
900,11155.906004764405,11864.19904519138
1000,11155.906004764405,12039.036719409485
