"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.01,generations:2000,runtime:6.484337568283081"
Generation,Min Distance,Avg Distance
200,11005.299105911625,11430.1119153961
400,10228.081568312144,10863.333772903876
600,10228.081568312144,10894.906514567547
800,10228.081568312144,10814.277573951811
1000,10228.081568312144,10907.957813648249
1200,10228.081568312144,10710.593573185697
1400,10228.081568312144,10615.975694453562
1600,10228.081568312144,11249.176074616349
1800,10228.081568312144,10909.831889102676
2000,10228.081568312144,11117.99246166293
