"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.02,generations:1000,runtime:17.084142208099365"
Generation,Min Distance,Avg Distance
100,570900.1823117287,613358.8111605848
200,564002.4161246817,615564.0650528824
300,535434.1625055352,584895.2324978313
400,523891.8778950671,573075.0708002112
500,542663.1111266499,591925.2017537296
600,557492.0389831683,614630.1301416841
700,532342.2949818417,580121.9576537458
800,533244.8808216833,581462.9059180233
900,522331.1543772187,569695.4759694055
1000,510210.94471658475,564963.820904596
