"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.01,generations:2000,runtime:62.84313440322876"
Generation,Min Distance,Avg Distance
200,370775.148170814,397852.77490764216
400,318071.25180255534,343092.08918353013
600,292077.01928350574,322966.25539789564
800,276486.96564908256,309458.1821441627
1000,266286.82304802875,295876.16093229916
1200,255819.82578325708,285883.68061922875
1400,252141.84770224395,281252.71067506325
1600,242683.4185015128,269180.25350272557
1800,240481.1112423037,267809.8203019158
2000,239293.2367361369,268461.8620075224
