"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.01,generations:500,runtime:16.598307371139526"
Generation,Min Distance,Avg Distance
50,577585.5215577494,612060.0534579877
100,473351.81412221404,500082.19391842146
150,411551.2133372644,440476.21310515166
200,386269.4050810697,413585.7620801311
250,366280.0559626153,396621.5543162395
300,346411.78087790933,373106.34008363297
350,336824.522441512,362441.34021271707
400,328021.1784075763,356464.5693795408
450,322920.80877857946,348441.5775246784
500,316880.61858151044,344596.8798786955
