"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.05,generations:500,runtime:12.683091402053833"
Generation,Min Distance,Avg Distance
50,5394.2592257250635,6037.561136525047
100,5434.201131973251,6156.543442538721
150,4958.201952408432,5999.795144566421
200,5240.4995757678735,6085.609431580056
250,5311.837590375384,6033.159628043298
300,5166.807792013704,5863.050177169599
350,5324.409834585445,6148.336683840608
400,5140.1156615447335,5917.652118721878
450,5378.500327796134,6048.556654181631
500,5456.38551521372,6101.25390081949
