"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.02,generations:1000,runtime:11.216686010360718"
Generation,Min Distance,Avg Distance
100,3827.7016274890025,4260.419905873554
200,3324.21221000033,3748.8020177969975
300,3051.4596004920304,3453.0466256197114
400,2909.8767607048426,3398.0050232094513
500,2901.041898851008,3340.9314775969847
600,2726.81744953693,3108.5026073698473
700,2668.615176744485,3071.785708042465
800,2651.320056484361,3123.7875719327367
900,2671.7107716878954,3063.1916289319956
1000,2645.458949119593,3131.4778288871994
