"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.02,generations:2000,runtime:17.971563816070557"
Generation,Min Distance,Avg Distance
200,556511.7882367173,602943.8279084298
400,546805.1668396399,598805.4340492013
600,527954.2576684863,576021.8174411022
800,541576.1763754374,583283.3768516429
1000,526719.7927547087,569634.1630927753
1200,551201.4891667551,594832.8026444048
1400,549872.3618649152,592115.9412130354
1600,539192.5287827976,587022.0251647858
1800,561931.3740101269,608910.3639490142
2000,551988.672487464,596586.4341007642
