"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.05,generations:2000,runtime:19.882158517837524"
Generation,Min Distance,Avg Distance
200,788634.8393650634,851304.18057576
400,798520.0543979141,852617.344346517
600,783820.2401772586,850555.3583112678
800,801340.6416619202,860779.3388649682
1000,786533.5492393014,837283.8452737397
1200,809825.7564729899,860502.0688107526
1400,748377.6303377473,824028.373885664
1600,793850.3885625422,845070.326396669
1800,790996.7506423861,850108.8904039656
2000,795945.331642295,851448.9394727923
