"eil51,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.01,generations:500,runtime:1.4196281433105469"
Generation,Min Distance,Avg Distance
50,895.5441797179079,938.0787044461176
100,711.2689160783389,756.097456608042
150,643.850951122101,674.6287353509117
200,598.006119391012,621.1887296975312
250,594.7021544477233,626.7075836416639
300,566.0370016614881,607.6089786997401
350,541.2388672599683,578.2137430254593
400,539.2510782270083,585.6515941599346
450,539.2510782270083,591.5053491457004
500,539.2510782270083,569.9251985409592
