"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.05,generations:500,runtime:9.671126365661621"
Generation,Min Distance,Avg Distance
50,743246.194728659,819382.4763193085
100,774202.3519558575,839327.6531073845
150,774219.9542380128,838153.2009052924
200,789804.652480645,856502.8532036452
250,762322.7530628705,829070.7601743949
300,790191.2268187897,857017.0703467805
350,743060.8429894391,818014.0625185444
400,790221.8339105537,846106.1619594764
450,754718.3183259165,835756.6156001439
500,755804.81626201,838037.7300705601
