"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.05,generations:1000,runtime:4.9745659828186035"
Generation,Min Distance,Avg Distance
100,13869.491555822111,16778.108069587288
200,14353.440818302442,17241.2883567277
300,14924.666543270429,17518.424212742957
400,14799.207075515376,17888.00941529951
500,14593.317014305429,18318.9886811747
600,15022.247553316744,17965.715376180033
700,14683.18674339581,17731.088936437718
800,16036.554813569905,19189.856727153652
900,15183.911255916804,17735.434474246646
1000,14647.25849184445,17625.792878304765
