"eil51,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:200,mutation_rate:0.05,generations:2000,runtime:29.276463508605957"
Generation,Min Distance,Avg Distance
200,815.8828651360118,1003.9718886369283
400,728.2506686996742,920.6713691244676
600,760.4369517433074,942.1722428369318
800,793.5526297480029,976.3086378139935
1000,803.2183728236164,998.9979884399838
1200,816.7386800762174,994.5114582459361
1400,845.2020659894581,1000.920436841354
1600,801.711505990528,989.1153214900495
1800,806.8394239451795,1002.0232854106308
2000,789.518907507539,970.2578177487109
