"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.01,generations:500,runtime:4.065897226333618"
Generation,Min Distance,Avg Distance
50,13888.276360551808,14644.092484270506
100,11714.098802951119,12330.35372943565
150,11057.714563076597,11522.340579558871
200,10760.603681479555,11576.183607368604
250,10634.857925186885,11172.193966946896
300,10625.499633410054,11132.94313477397
350,10625.499633410054,11230.453373002028
400,10625.499633410054,11033.898833915848
450,10625.499633410054,11275.677490192158
500,10625.499633410054,11354.659160331861
