"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.01,generations:1000,runtime:16.62878942489624"
Generation,Min Distance,Avg Distance
100,491129.8523525441,513190.4958735576
200,412139.000548371,438358.98316590255
300,380644.5539051024,402856.03651814925
400,357480.489442922,381355.11925821466
500,343414.9421022255,378682.81125013944
600,331498.1861543454,359765.5286504851
700,318712.8074747877,345383.30043298716
800,315526.9924675658,347410.69823031826
900,310056.90637590276,338221.6596752342
1000,307146.36406503036,337739.9813967545
