"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.02,generations:500,runtime:8.908953666687012"
Generation,Min Distance,Avg Distance
50,626546.1877272206,672090.094683234
100,523500.8440672112,591580.5220086386
150,527427.3274433443,570647.5993365969
200,540513.7006617566,589782.577780946
250,500022.55438916385,556019.0674522961
300,531880.9417738091,585272.3288827103
350,518282.0955858374,566452.121305966
400,515145.7516758734,568512.6807386158
450,516628.2236721734,563554.9057342813
500,516874.36533859116,570665.5005812596
