"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.01,generations:500,runtime:4.939477205276489"
Generation,Min Distance,Avg Distance
50,594827.0248485497,622894.605043698
100,516850.6492809176,539419.4722478454
150,464573.39756254334,494631.317066568
200,444940.44191269245,465821.7214219196
250,415457.62571257976,447452.1615307789
300,387774.00745660946,413962.1553544862
350,367859.2097312054,399989.2473774773
400,351700.3590470558,378630.9239317128
450,331512.878027956,356124.24732623814
500,325259.56248841353,353092.1139032348
